Localité;;"T05M4E5 [°C]";"T05M4E5 [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;20,0
13/08/2022;06:00:00;23,1;67,8
13/08/2022;06:15:00;23,1;67,6
13/08/2022;06:30:00;22,6;68,8
13/08/2022;06:45:00;22,5;69,4
13/08/2022;07:00:00;22,3;69,8
13/08/2022;07:15:00;22,6;69,2
13/08/2022;07:30:00;22,7;68,9
13/08/2022;07:45:00;22,4;69,9
13/08/2022;08:00:00;22,5;69,9
13/08/2022;08:15:00;22,7;69,2
13/08/2022;08:30:00;22,8;69,1
13/08/2022;08:45:00;22,8;69,2
13/08/2022;09:00:00;22,8;69,2
13/08/2022;09:15:00;22,9;69,0
13/08/2022;09:30:00;23,0;69,0
13/08/2022;09:45:00;23,0;69,3
13/08/2022;10:00:00;23,1;69,5
13/08/2022;10:15:00;23,1;69,1
13/08/2022;10:30:00;23,2;68,6
13/08/2022;10:45:00;23,3;68,4
13/08/2022;11:00:00;23,4;68,4
13/08/2022;11:15:00;23,5;67,9
13/08/2022;11:30:00;23,8;67,2
13/08/2022;11:45:00;23,8;66,5
13/08/2022;12:00:00;23,8;65,3
13/08/2022;12:15:00;24,0;65,1
13/08/2022;12:30:00;24,1;64,8
13/08/2022;12:45:00;24,2;65,0
13/08/2022;13:00:00;24,1;65,2
13/08/2022;13:15:00;24,2;64,9
13/08/2022;13:30:00;24,2;64,8
13/08/2022;13:45:00;24,5;63,5
13/08/2022;14:00:00;24,6;63,2
13/08/2022;14:15:00;24,5;63,3
13/08/2022;14:30:00;24,6;62,7
13/08/2022;14:45:00;24,7;62,2
13/08/2022;15:00:00;24,8;62,0
13/08/2022;15:15:00;25,0;61,3
13/08/2022;15:30:00;25,0;61,0
13/08/2022;15:45:00;25,0;60,8
13/08/2022;16:00:00;25,1;60,1
13/08/2022;16:15:00;25,0;60,6
13/08/2022;16:30:00;25,0;60,8
13/08/2022;16:45:00;24,9;60,9
13/08/2022;17:00:00;24,9;61,2
13/08/2022;17:15:00;24,8;61,8
13/08/2022;17:30:00;24,8;61,9
13/08/2022;17:45:00;24,8;61,5
13/08/2022;18:00:00;24,8;61,3
13/08/2022;18:15:00;24,8;61,6
13/08/2022;18:30:00;24,8;62,0
13/08/2022;18:45:00;24,8;62,0
13/08/2022;19:00:00;24,8;61,7
13/08/2022;19:15:00;24,8;61,6
13/08/2022;19:30:00;24,8;61,8
13/08/2022;19:45:00;24,7;61,8
