Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
19/08/2022;11:00:00;24,1;56,3
19/08/2022;11:15:00;24,1;56,1
19/08/2022;11:30:00;24,1;55,5
19/08/2022;11:45:00;24,0;55,2
19/08/2022;12:00:00;24,0;55,0
19/08/2022;12:15:00;23,9;53,8
19/08/2022;12:30:00;24,0;55,7
19/08/2022;12:45:00;24,2;56,6
19/08/2022;13:00:00;24,3;57,2
19/08/2022;13:15:00;24,3;56,2
19/08/2022;13:30:00;24,1;55,4
19/08/2022;13:45:00;24,1;54,4
19/08/2022;14:00:00;24,1;54,3
19/08/2022;14:15:00;24,1;54,0
19/08/2022;14:30:00;24,1;53,7
19/08/2022;14:45:00;24,1;53,3
19/08/2022;15:00:00;24,0;53,0
19/08/2022;15:15:00;24,1;53,4
19/08/2022;15:30:00;24,3;54,6
19/08/2022;15:45:00;24,3;55,3
19/08/2022;16:00:00;24,2;54,8
19/08/2022;16:15:00;24,0;53,1
19/08/2022;16:30:00;23,9;52,5
19/08/2022;16:45:00;23,9;51,8
19/08/2022;17:00:00;23,8;51,6
19/08/2022;17:15:00;23,8;51,2
19/08/2022;17:30:00;23,9;52,3
19/08/2022;17:45:00;24,1;53,4
19/08/2022;18:00:00;24,2;54,0
19/08/2022;18:15:00;24,3;54,6
19/08/2022;18:30:00;24,4;55,1
19/08/2022;18:45:00;24,4;55,5
19/08/2022;19:00:00;24,4;55,9
19/08/2022;19:15:00;24,5;56,2
19/08/2022;19:30:00;24,5;56,5
19/08/2022;19:45:00;24,5;56,8
19/08/2022;20:00:00;24,5;57,1
19/08/2022;20:15:00;24,6;57,4
19/08/2022;20:30:00;24,6;57,8
19/08/2022;20:45:00;24,6;58,0
19/08/2022;21:00:00;24,6;58,2
19/08/2022;21:15:00;24,6;58,4
19/08/2022;21:30:00;24,6;58,6
19/08/2022;21:45:00;24,6;58,8
19/08/2022;22:00:00;24,6;59,0
19/08/2022;22:15:00;24,6;59,3
19/08/2022;22:30:00;24,6;59,3
19/08/2022;22:45:00;24,6;59,5
19/08/2022;23:00:00;24,6;59,7
19/08/2022;23:15:00;24,6;59,8
19/08/2022;23:30:00;24,6;59,9
19/08/2022;23:45:00;24,7;60,1
20/08/2022;00:00:00;24,6;60,2
20/08/2022;00:15:00;24,7;60,3
20/08/2022;00:30:00;24,7;60,5
20/08/2022;00:45:00;24,7;60,6
20/08/2022;01:00:00;24,7;60,7
20/08/2022;01:15:00;24,7;60,8
20/08/2022;01:30:00;24,7;60,8
20/08/2022;01:45:00;24,7;61,0
20/08/2022;02:00:00;24,7;61,1
20/08/2022;02:15:00;24,7;61,2
20/08/2022;02:30:00;24,7;61,3
20/08/2022;02:45:00;24,7;61,4
20/08/2022;03:00:00;24,7;61,5
20/08/2022;03:15:00;24,7;61,6
20/08/2022;03:30:00;24,7;61,7
20/08/2022;03:45:00;24,7;61,7
20/08/2022;04:00:00;24,7;61,9
20/08/2022;04:15:00;24,7;61,9
20/08/2022;04:30:00;24,7;62,0
20/08/2022;04:45:00;24,7;62,1
20/08/2022;05:00:00;24,7;62,2
20/08/2022;05:15:00;24,7;62,3
20/08/2022;05:30:00;24,7;62,5
20/08/2022;05:45:00;24,7;62,5
20/08/2022;06:00:00;24,7;62,6
20/08/2022;06:15:00;24,7;62,7
20/08/2022;06:30:00;24,7;62,6
20/08/2022;06:45:00;24,6;62,8
20/08/2022;07:00:00;24,6;62,8
20/08/2022;07:15:00;24,6;62,9
20/08/2022;07:30:00;24,6;62,9
20/08/2022;07:45:00;24,6;62,9
20/08/2022;08:00:00;24,6;63,0
20/08/2022;08:15:00;24,6;62,9
20/08/2022;08:30:00;24,6;62,9
20/08/2022;08:45:00;24,6;63,0
20/08/2022;09:00:00;24,6;63,1
20/08/2022;09:15:00;24,7;63,0
20/08/2022;09:30:00;24,6;63,1
20/08/2022;09:45:00;24,3;59,2
20/08/2022;10:00:00;24,1;57,0
20/08/2022;10:15:00;24,0;56,8
20/08/2022;10:30:00;24,2;58,3
20/08/2022;10:45:00;24,2;57,6
20/08/2022;11:00:00;24,0;55,3
20/08/2022;11:15:00;24,0;55,5
20/08/2022;11:30:00;24,1;57,0
20/08/2022;11:45:00;24,3;57,7
20/08/2022;12:00:00;24,3;58,1
20/08/2022;12:15:00;24,3;56,5
20/08/2022;12:30:00;24,0;54,5
20/08/2022;12:45:00;23,9;53,2
20/08/2022;13:00:00;24,0;54,8
20/08/2022;13:15:00;24,2;55,9
20/08/2022;13:30:00;24,0;53,3
20/08/2022;13:45:00;23,8;51,9
20/08/2022;14:00:00;23,7;50,9
20/08/2022;14:15:00;23,7;50,3
20/08/2022;14:30:00;23,7;49,9
20/08/2022;14:45:00;23,7;49,5
20/08/2022;15:00:00;23,9;51,7
20/08/2022;15:15:00;24,1;52,6
20/08/2022;15:30:00;24,2;53,3
20/08/2022;15:45:00;24,3;53,9
20/08/2022;16:00:00;24,3;54,4
20/08/2022;16:15:00;24,4;54,8
20/08/2022;16:30:00;24,4;55,3
20/08/2022;16:45:00;24,5;55,6
20/08/2022;17:00:00;24,5;56,0
20/08/2022;17:15:00;24,5;56,3
20/08/2022;17:30:00;24,5;56,6
20/08/2022;17:45:00;24,5;56,9
20/08/2022;18:00:00;24,6;57,1
20/08/2022;18:15:00;24,6;57,3
20/08/2022;18:30:00;24,6;57,5
20/08/2022;18:45:00;24,6;57,6
20/08/2022;19:00:00;24,6;57,8
20/08/2022;19:15:00;24,6;57,9
20/08/2022;19:30:00;24,7;58,0
20/08/2022;19:45:00;24,7;58,2
20/08/2022;20:00:00;24,7;58,3
20/08/2022;20:15:00;24,7;58,5
20/08/2022;20:30:00;24,7;58,5
20/08/2022;20:45:00;24,7;58,7
20/08/2022;21:00:00;24,8;58,8
20/08/2022;21:15:00;24,7;58,9
20/08/2022;21:30:00;24,7;59,1
20/08/2022;21:45:00;24,8;59,2
20/08/2022;22:00:00;24,8;59,2
20/08/2022;22:15:00;24,8;59,3
20/08/2022;22:30:00;24,8;59,4
20/08/2022;22:45:00;24,8;59,5
20/08/2022;23:00:00;24,8;59,7
20/08/2022;23:15:00;24,8;59,8
20/08/2022;23:30:00;24,8;59,8
20/08/2022;23:45:00;24,8;60,0
21/08/2022;00:00:00;24,8;60,0
21/08/2022;00:15:00;24,8;60,0
21/08/2022;00:30:00;24,8;60,1
21/08/2022;00:45:00;24,8;60,2
21/08/2022;01:00:00;24,8;60,3
21/08/2022;01:15:00;24,8;60,3
21/08/2022;01:30:00;24,8;60,4
21/08/2022;01:45:00;24,8;60,5
